dataset,algorithm,nmi
engytime,kmeans,0.6601503759398496
engytime,ap,0.19999999999999998
engytime,ag,1.0
engytime,birch,1.0
engytime,spectral,1.0
engytime,meanshift,1.0
engytime,optics,1.0
engytime,db,1.0
ds577,kmeans,0.40751879699248117
ds577,ap,0.9999999999999999
ds577,ag,1.0
ds577,birch,1.0
ds577,spectral,1.0
ds577,meanshift,1.0
ds577,optics,1.0
ds577,db,1.0
2d-4c,kmeans,0.7353383458646616
2d-4c,ap,1.0
2d-4c,ag,1.0
2d-4c,birch,1.0
2d-4c,spectral,1.0
2d-4c,meanshift,1.0
2d-4c,optics,1.0
2d-4c,db,1.0
xclara,kmeans,0.556390977443609
xclara,ap,1.0
xclara,ag,1.0
xclara,birch,1.0
xclara,spectral,1.0
xclara,meanshift,1.0
xclara,optics,1.0
xclara,db,1.0
flame,kmeans,0.28721804511278193
flame,ap,0.9636363636363635
flame,ag,1.0
flame,birch,1.0
flame,spectral,1.0
flame,meanshift,1.0
flame,optics,1.0
flame,db,1.0
iono,kmeans,0.35488721804511275
iono,ap,0.8060606060606059
iono,ag,1.0
iono,birch,1.0
iono,spectral,1.0
iono,meanshift,1.0
iono,optics,1.0
iono,db,1.0
tae,kmeans,1.0
tae,ap,0.7575757575757575
tae,ag,1.0
tae,birch,1.0
tae,spectral,1.0
tae,meanshift,1.0
tae,optics,1.0
tae,db,1.0
cure-t2-4k,kmeans,0.23308270676691725
cure-t2-4k,ap,1.0
cure-t2-4k,ag,1.0
cure-t2-4k,birch,1.0
cure-t2-4k,spectral,1.0
cure-t2-4k,meanshift,1.0
cure-t2-4k,optics,1.0
cure-t2-4k,db,1.0
shapes,kmeans,0.41804511278195483
shapes,ap,1.0
shapes,ag,1.0
shapes,birch,1.0
shapes,spectral,1.0
shapes,meanshift,1.0
shapes,optics,1.0
shapes,db,1.0
long3,kmeans,0.2902255639097744
long3,ap,0.9999999999999999
long3,ag,1.0
long3,birch,1.0
long3,spectral,1.0
long3,meanshift,1.0
long3,optics,1.0
long3,db,1.0
2sp2glob,kmeans,0.44060150375939844
2sp2glob,ap,1.0
2sp2glob,ag,1.0
2sp2glob,birch,1.0
2sp2glob,spectral,1.0
2sp2glob,meanshift,1.0
2sp2glob,optics,1.0
2sp2glob,db,1.0
long2,kmeans,0.2827067669172932
long2,ap,0.9393939393939393
long2,ag,1.0
long2,birch,1.0
long2,spectral,1.0
long2,meanshift,1.0
long2,optics,1.0
long2,db,1.0
2d-4c-no4,kmeans,0.43909774436090226
2d-4c-no4,ap,0.8545454545454544
2d-4c-no4,ag,1.0
2d-4c-no4,birch,1.0
2d-4c-no4,spectral,1.0
2d-4c-no4,meanshift,1.0
2d-4c-no4,optics,1.0
2d-4c-no4,db,1.0
target,kmeans,0.4601503759398496
target,ap,0.9285714285714287
target,ag,1.0
target,birch,1.0
target,spectral,1.0
target,meanshift,1.0
target,optics,1.0
target,db,1.0
atom,kmeans,1.0
atom,ap,0.9999999999999999
atom,ag,1.0
atom,birch,1.0
atom,spectral,1.0
atom,meanshift,1.0
atom,optics,1.0
atom,db,1.0
complex9,kmeans,0.4060150375939849
complex9,ap,1.0
complex9,ag,1.0
complex9,birch,1.0
complex9,spectral,1.0
complex9,meanshift,1.0
complex9,optics,1.0
complex9,db,0.9999999999999999
elliptical_10_2,kmeans,0.6375939849624059
elliptical_10_2,ap,0.01818181818181818
elliptical_10_2,ag,1.0
elliptical_10_2,birch,1.0
elliptical_10_2,spectral,1.0
elliptical_10_2,meanshift,1.0
elliptical_10_2,optics,1.0
elliptical_10_2,db,1.0
impossible,kmeans,0.44060150375939844
impossible,ap,1.0
impossible,ag,1.0
impossible,birch,1.0
impossible,spectral,1.0
impossible,meanshift,1.0
impossible,optics,1.0
impossible,db,1.0
spherical_4_3,kmeans,0.13533834586466165
spherical_4_3,ap,0.9999999999999999
spherical_4_3,ag,1.0
spherical_4_3,birch,1.0
spherical_4_3,spectral,1.0
spherical_4_3,meanshift,1.0
spherical_4_3,optics,1.0
spherical_4_3,db,1.0
disk-4500n,kmeans,0.23909774436090225
disk-4500n,ap,1.0
disk-4500n,ag,1.0
disk-4500n,birch,1.0
disk-4500n,spectral,1.0
disk-4500n,meanshift,1.0
disk-4500n,optics,1.0
disk-4500n,db,1.0
wingnut,kmeans,0.4330827067669173
wingnut,ap,0.9999999999999999
wingnut,ag,1.0
wingnut,birch,1.0
wingnut,spectral,1.0
wingnut,meanshift,1.0
wingnut,optics,1.0
wingnut,db,1.0
zelnik2,kmeans,1.0
zelnik2,ap,1.0
zelnik2,ag,1.0
zelnik2,birch,1.0
zelnik2,spectral,1.0
zelnik2,meanshift,1.0
zelnik2,optics,1.0
zelnik2,db,1.0
cure-t1-2000n-2D,kmeans,0.37744360902255636
cure-t1-2000n-2D,ap,1.0
cure-t1-2000n-2D,ag,1.0
cure-t1-2000n-2D,birch,1.0
cure-t1-2000n-2D,spectral,1.0
cure-t1-2000n-2D,meanshift,1.0
cure-t1-2000n-2D,optics,1.0
cure-t1-2000n-2D,db,1.0
3-spiral,kmeans,1.0
3-spiral,ap,0.8166666666666667
3-spiral,ag,1.0
3-spiral,birch,1.0
3-spiral,spectral,1.0
3-spiral,meanshift,1.0
3-spiral,optics,1.0
3-spiral,db,1.0
simplex,kmeans,0.5308270676691729
simplex,ap,0.7999999999999999
simplex,ag,1.0
simplex,birch,1.0
simplex,spectral,1.0
simplex,meanshift,1.0
simplex,optics,1.0
simplex,db,1.0
ds2c2sc13,kmeans,1.0
ds2c2sc13,ap,1.0
ds2c2sc13,ag,1.0
ds2c2sc13,birch,0.9999999999999999
ds2c2sc13,spectral,1.0
ds2c2sc13,meanshift,1.0
ds2c2sc13,optics,1.0
ds2c2sc13,db,1.0
square4,kmeans,0.6345864661654135
square4,ap,1.0
square4,ag,1.0
square4,birch,1.0
square4,spectral,1.0
square4,meanshift,1.0
square4,optics,1.0
square4,db,1.0
lsun,kmeans,0.4030075187969925
lsun,ap,0.9999999999999999
lsun,ag,1.0
lsun,birch,1.0
